Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mexico,MEX,878402954348.619
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Micronesia, Fed. Sts.",FSM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Moldova,MDA,8123187018.12117
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Monaco,MCO,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mongolia,MNG,11373649059.5148
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Montenegro,MNE,3901208224.496
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Morocco,MAR,96084600186.0581
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mozambique,MOZ,12544990264.6892
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Myanmar,MMR,70575482752.7518
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Namibia,NAM,9446454544.97361
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Nauru,NRU,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Nepal,NPL,28902139814.9161
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Netherlands,NLD,655361676249.247
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,New Caledonia,NCL,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,New Zealand,NZL,168381074765.995
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Nicaragua,NIC,11535799830.2668
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Niger,NER,11683687976.7407
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Nigeria,NGA,411320934011.287
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,North Macedonia,MKD,8948691813.1845
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Northern Mariana Islands,MNP,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Norway,NOR,296912114766.685
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Oman,OMN,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Pakistan,PAK,266692531015.905
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Palau,PLW,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Panama,PAN,43534867232.048
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Papua New Guinea,PNG,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Paraguay,PRY,36604621618.1246
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Peru,PER,169533378312.346
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Philippines,PHL,341350238284.462
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Poland,POL,479884708975.66
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Portugal,PRT,161782677731.857
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Puerto Rico,PRI,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Qatar,QAT,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Romania,ROU,177370033078.418
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Russian Federation,RUS,1100984223793.5
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Rwanda,RWA,8785041890.58908
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Samoa,WSM,741561971.269398
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,San Marino,SMR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sao Tome and Principe,STP,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Saudi Arabia,SAU,545385719282.698
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Senegal,SEN,20415430093.2265
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Serbia,SRB,37852193316.1778
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Seychelles,SYC,1028757936.42405
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sierra Leone,SLE,4761664270.8266
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Singapore,SGP,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Sint Maarten (Dutch part),SXM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Slovak Republic,SVK,75172903562.0331
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Slovenia,SVN,38445668384.1689
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Solomon Islands,SLB,1325293533.84455
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Somalia,SOM,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,South Africa,ZAF,283645257149.799
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,South Sudan,SSD,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Spain,ESP,984963146651.217
